City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,hobart,-42.8794,147.3294,15.92,81,100,2.06,AU,1675102492
92,yumen,40.2833,97.2,-5.36,27,77,4.18,CN,1675102695
93,ortakoy,38.7373,34.0387,0.14,73,93,1.16,TR,1675102696
94,ribeira grande,38.5167,-28.7,15.43,67,40,4.12,PT,1675102619
95,komatipoort,-25.4332,31.9548,25.03,70,88,4.25,ZA,1675102700
96,ponta do sol,32.6667,-17.1,16.11,64,56,2.73,PT,1675102700
97,brusyliv,50.2845,29.5263,0.27,62,100,6.32,UA,1675102703
98,qaanaaq,77.484,-69.3632,-22.94,56,4,3.98,GL,1675102553
99,shizukuishi,39.6833,140.9833,-6.02,87,68,4.25,JP,1675102704
100,rockport,28.0206,-97.0544,11.01,100,100,6.69,US,1675102705
101,yilan,24.757,121.753,13.84,99,30,1.81,TW,1675102706
102,meulaboh,4.1363,96.1285,25.86,85,100,0.47,ID,1675102707
103,klaksvik,62.2266,-6.589,1.51,75,100,8.3,FO,1675102708
104,casablanca,33.5928,-7.6192,13.19,67,40,2.06,MA,1675102711
105,hasaki,35.7333,140.8333,1.23,51,34,8.08,JP,1675102552
106,mahebourg,-20.4081,57.7,25.7,94,40,1.03,MU,1675102558
107,cherskiy,68.75,161.3,-8.71,85,100,2.87,RU,1675102715
108,ushuaia,-54.8,-68.3,10.79,66,75,9.26,AR,1675102516
109,mar del plata,-38.0023,-57.5575,27.68,78,20,8.49,AR,1675102521
110,constitucion,-35.3333,-72.4167,22.92,62,12,6.19,CL,1675102720
111,saint-philippe,-21.3585,55.7679,26.77,87,100,1.9,RE,1675102535
112,sulangan,11.1373,123.7228,26.17,84,100,7.35,PH,1675102722
113,bredasdorp,-34.5322,20.0403,19.41,70,2,8.71,ZA,1675102556
114,vestmannaeyjar,63.4427,-20.2734,5.55,70,40,15.95,IS,1675102723
115,conde,-7.2597,-34.9075,29.7,62,40,7.72,BR,1675102724
116,matamoros,25.5333,-103.25,25.62,22,75,2.06,MX,1675102724
117,kuryk,43.2,51.65,0.97,48,69,4.23,KZ,1675102725
118,codo,-4.4553,-43.8856,28.73,74,62,0.33,BR,1675102725
119,naze,28.3667,129.4833,11.51,59,17,3.91,JP,1675102492
